Artist and Title,Streams,Daily,year
Plain White T's - Rhythm Of Love,120259022,32010.0,2010
The Naked And Famous - Punching In A Dream,120170968,28485.0,2010
The Script - Nothing,119546360,35239.0,2010
Taylor Swift - Last Kiss,118958638,29454.0,2010
Wisin & Yandel - Estoy Enamorado,118868336,59770.0,2010
Jessie J - Do It Like A Dude,117506407,34683.0,2010
Miley Cyrus - Can't Be Tamed,116283079,43929.0,2010
Jason Aldean - My Kinda Party,116227466,38364.0,2010
Hannah Montana - I'll Always Remember You,115819377,28270.0,2010
Bunbury - Frente a frente,115049514,60408.0,2010
Tinie Tempah - Written in the Stars,114438365,31193.0,2010
Gorillaz - Stylo,114103578,39379.0,2010
Chris Tomlin - Our God,114048903,35198.0,2010
The Black Keys - Everlasting Light,113880013,31354.0,2010
FLOW - Sign,113706965,50469.0,2010
Zac Brown Band - As She's Walking Away,113636925,47651.0,2010
Selena - Bidi Bidi Bom Bom,113181226,45489.0,2010
3OH!3 - My First Kiss,112721500,28174.0,2010
Sugarland - Stuck Like Glue,112694621,24308.0,2010
Los Pericos - Runaway,112589650,29898.0,2010
Tacabro - Tacatà,112427191,31892.0,2010
Joan Jett & the Blackhearts - Bad Reputation,112088993,69395.0,2010
John Lennon - Stand By Me,111604112,49203.0,2010
LCD Soundsystem - Dance Yrself Clean,111419072,25734.0,2010
Camila - Bésame,111122317,71409.0,2010
Pitbull - Echa Pa'lla (Manos Pa'rriba),110597797,33688.0,2010
"Lloyd Banks - Beamer, Benz, Or Bentley",110432362,23861.0,2010
Victorious Cast - Beggin' On Your Knees,110416613,27232.0,2010
Otis Redding - My Girl,109932434,45744.0,2010
Andrew Belle - In My Veins,109731243,20883.0,2010
Rihanna - Cheers (Drink To That),109605277,25066.0,2010
Kid Cudi - Marijuana,109405904,21817.0,2010
Linkin Park - Iridescent,108788182,44761.0,2010
Enjambre - Dulce Soledad,108650115,67004.0,2010
Linkin Park - The Catalyst,108099817,36919.0,2010
Sabaton - Primo Victoria,108027352,32938.0,2010
Camila - De Qué Me Sirve la Vida,107951379,64303.0,2010
Parov Stelar - Booty Swing,107784145,22125.0,2010
Flight Facilities - Crave You,107591147,19959.0,2010
Prince Royce - El Amor Que Perdimos,107458685,67637.0,2010
The Sugarhill Gang - Rapper's Delight,107319374,,2010
USHER - Hey Daddy (Daddy's Home),107083080,440468.0,2010
Benjamin Francis Leftwich - Atlas Hands,106235126,19504.0,2010
Katharine McPhee - Terrified,105825725,33247.0,2010
Disturbed - Warrior,104728462,27990.0,2010
Rihanna - Skin,104149213,33482.0,2010
Cultura Profética - La Complicidad,103482142,33878.0,2010
The Chicks - Not Ready to Make Nice,103243078,35366.0,2010
SoulChef - Write This Down,103230707,44071.0,2010
Selena Gomez & The Scene - A Year Without Rain,102832204,42497.0,2010
Eminem - Cold Wind Blows,102691717,26973.0,2010
"Frédéric Chopin - Nocturne en Mi Bémol Majeur, Op. 9 No. 2",102600600,20783.0,2010
Ludacris - How Low,102476950,31046.0,2010
Eminem - Won't Back Down,102254205,26236.0,2010
Duck Sauce - Barbra Streisand,101377413,39179.0,2010
Justin Bieber - U Smile,100764943,34884.0,2010
Cartel De Santa - El Ratón y el Queso,100129023,40823.0,2010
Adele - Someone Like You,1769618375,958364.0,2011
Adele - Rolling in the Deep,1640313932,1078169.0,2011
Foster The People - Pumped Up Kicks,1620224857,705234.0,2011
Gotye - Somebody That I Used To Know,1592280115,812349.0,2011
David Guetta - Titanium,1507078718,1004056.0,2011
Christina Perri - A Thousand Years,1506288527,752684.0,2011
Lucenzo - Danza Kuduro,1436020470,1008435.0,2011
Rihanna - We Found Love,1419534505,1257582.0,2011
Adele - Set Fire to the Rain,1381913712,1338562.0,2011
"Snoop Dogg - Young, Wild & Free",1333264891,632341.0,2011
JAY-Z - Ni**as In Paris,1308494114,719830.0,2011
Gym Class Heroes - Stereo Hearts,1211327173,673066.0,2011
Tammi Terrell - Ain't No Mountain High Enough,1171238863,828565.0,2011
Coldplay - Paradise,1168759356,686016.0,2011
Nicki Minaj - Starships,1007116412,640180.0,2011
Michael Bublé - It's Beginning to Look a Lot like Christmas,992739036,845780.0,2011
Pitbull - Give Me Everything,985282621,689051.0,2011
Ed Sheeran - The A Team,934485784,265041.0,2011
Avicii - Levels,863405379,478694.0,2011
Calvin Harris - Feel So Close,862799171,518108.0,2011
J. Cole - Work Out,847028509,652288.0,2011
GROUPLOVE - Tongue Tied,836064911,329959.0,2011
Lana Del Rey - Video Games,809071016,573943.0,2011
Flo Rida - Wild Ones,800368737,418336.0,2011
AWOLNATION - Sail,782017749,197785.0,2011
Birdy - Skinny Love,774116464,237580.0,2011
Justin Bieber - Mistletoe,754763847,684021.0,2011
Selena Gomez & The Scene - Love You Like A Love Song,752729559,516788.0,2011
The Wanted - Glad You Came,745224444,333994.0,2011
Bruno Mars - It Will Rain,711901997,773079.0,2011
Imagine Dragons - It's Time,666540583,280237.0,2011
LMFAO - Party Rock Anthem,654350933,377560.0,2011
Rihanna - Where Have You Been,631405265,360617.0,2011
Michael Bublé - Holly Jolly Christmas,611590616,709928.0,2011
Kelly Clarkson - Stronger (What Doesn't Kill You),606386011,296950.0,2011
Beyoncé - Love On Top,603860275,239448.0,2011
Flo Rida - Good Feeling,598369030,458208.0,2011
Drake - Headlines,587479034,379504.0,2011
Drake - Take Care,576354539,294221.0,2011
Lady Gaga - Born This Way,562227047,276700.0,2011
Drake - Marvins Room,556538759,260649.0,2011
The Weeknd - Wicked Games,539913980,232581.0,2011
Beyoncé - Run the World (Girls),535805094,152738.0,2011
David Guetta - Where Them Girls At,535300584,283500.0,2011
Ed Sheeran - Lego House,525774354,171253.0,2011
The Paper Kites - Bloom,521310305,405386.0,2011
Lykke Li - I Follow Rivers,517920239,270716.0,2011
Jessie J - Price Tag,516023278,307297.0,2011
Ed Sheeran - Give Me Love,515084693,122233.0,2011
Drake - The Motto,507841024,233024.0,2011
David Guetta - Play Hard,504034259,250286.0,2011
Alexandra Stan - Mr. Saxobeat,496643974,270347.0,2011
Frank Ocean - Novacane,494193743,592028.0,2011
Jennifer Lopez - On The Floor,493173298,387793.0,2011
Lil Wayne - Mirror,491269209,258328.0,2011
The Black Keys - Lonely Boy,481373737,341649.0,2011
Lil Wayne - 6 Foot 7 Foot,471089073,182845.0,2011
Jessie J - Domino,468223034,261585.0,2011
