track_id,title,artist,album,release_date,popularity,duration_ms,explicit,year,ranking,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0icxdvyBebOeCzkYIVPpBe,From the Bottom of My Broken Heart - Radio Edit - Remastered,Britney Spears,The Essential Britney Spears,2014-07-29,28,274693,False,2000,77,0.666,0.589,7,-6.72,1,0.0293,0.341,0.0,0.369,0.642,74.966,4
0Kwz46VO4uzHx1UcBmhsHt,Crash and Burn,Savage Garden,Crash And Burn,2000-03-20,19,281533,False,2000,78,0.58,0.582,4,-9.529,1,0.0292,0.196,1.99e-06,0.123,0.199,102.024,4
1PrZOkFxJqTZAH8P3x87hW,Yes!,Chad Brock,Yes!,2000,47,206733,False,2000,79,0.674,0.623,2,-5.97,1,0.0283,0.00408,5.610000000000001e-05,0.0488,0.452,126.547,4
5ApdBBa3MtTzpF0MbpB2NG,The Best Day,George Strait,Latest Greatest Straitest Hits,2000-01-01,45,204066,False,2000,80,0.647,0.49,9,-5.044,1,0.0288,0.676,0.0,0.231,0.298,132.336,4
2uZwyxrg6VPvlVsvclIfel,Where I Wanna Be,Donell Jones,Where I Wanna Be,1999-05-29,61,253626,False,2000,81,0.664,0.396,5,-9.131,0,0.0298,0.52,0.0,0.268,0.453,102.053,4
7rDcULv8vV16vetBjPJhuE,How Do You Like Me Now?!,Toby Keith,How Do You Like Me Now?!,1999-01-01,69,209066,False,2000,82,0.648,0.667,0,-8.986,1,0.0311,0.0534,6.9400000000000005e-06,0.0908,0.669,109.609,4
5BeY2wY4rGFD1Q3aXO83Bv,My Best Friend,Tim McGraw,A Place In The Sun,1999-05-04,58,279866,False,2000,83,0.444,0.484,9,-8.311,1,0.0289,0.12,0.0,0.135,0.263,147.715,4
0RZuCBV900eNA2FXCQ3uUM,Broadway,The Goo Goo Dolls,Dizzy up the Girl,1998-09-11,56,238533,False,2000,84,0.527,0.878,11,-5.704,1,0.0424,0.0005549999999999,0.0,0.0852,0.757,132.791,4
5d8woPn6sHRA6yPnnHnqSt,What'chu Like (feat. Tyrese),Da Brat,Unrestricted,2000-04-11,55,221160,True,2000,85,0.879,0.681,10,-8.951,0,0.24,0.017,0.0,0.0669,0.8170000000000001,99.974,4
6pdlA94xD5x8SsxbRdOLxJ,Don't Think I'm Not,Kandi,Pure... Urban,2013-03-15,9,243400,False,2000,86,0.861,0.629,11,-8.203,1,0.0486,0.0577,0.0,0.0362,0.459,133.997,4
65B1tEOv5W294uCKbmEcFV,I Hope You Dance,Lee Ann Womack,I Hope You Dance,2000-01-01,67,294533,False,2000,87,0.385,0.443,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,4
48gBfTRel9fajeev7tmLpo,Better Off Alone - 1999 Original Hit Radio,Alice DJ,Better Off Alone (Laidback Luke Remix),2011-06-20,0,215246,False,2000,88,0.666,0.854,8,-8.442,0,0.0565,0.0044,0.769,0.313,0.748,136.954,4
1C2Q3AymKS17bw7T5gfq6p,Dance with Me,Debelah Morgan,Dance With Me,2000,48,220106,False,2000,89,0.85,0.674,7,-7.981,0,0.0373,0.309,0.000645,0.0356,0.74,115.005,4
1xK2NkwOfT8qZYWPossXGz,What About Now,Lonestar,Lonely Grill,1999,52,210000,False,2000,90,0.663,0.8190000000000001,4,-7.464,1,0.0335,0.147,0.0,0.0915,0.73,125.878,4
0IvTGWbNnCiUi9IOF7ye3F,I Like It,Sammie,From The Bottom To The Top,2000-01-01,49,251040,False,2000,91,0.8260000000000001,0.656,9,-8.529,1,0.0617,0.0101,0.000113,0.0272,0.852,129.963,4
4rZB2G955dQMcjlb7e3VNB,24/7,Kevon Edmonds,24/7,1999-10-12,43,274266,False,2000,92,0.6960000000000001,0.627,4,-5.629,1,0.0334,0.0685,0.0,0.0993,0.322,116.047,4
4DJwdQDai9DLYBL9TNrEDo,Girl On TV,LFO,LFO,1999-08-10,51,247600,False,2000,93,0.6880000000000001,0.716,4,-4.001,0,0.0297,0.131,0.0,0.134,0.352,96.043,4
5H9QtXfFUIrlNUig8pr1Nx,Bounce With Me (feat. Xscape) - Edited Album Version,Bow Wow,Beware Of Dog,2000-11-21,36,175893,False,2000,94,0.852,0.75,8,-5.153,1,0.168,0.434,0.0,0.265,0.934,72.016,4
3rXCZRMiMZp0feGcYXpwYX,Cowboy Take Me Away,The Chicks,Fly,1999-08-27,73,287266,False,2000,95,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418,4
5J1LBuPcII426fjeXy8Bv1,I Don't Wanna,Aaliyah,Ultimate Aaliyah,2005-05-10,66,256560,False,2000,96,0.707,0.514,9,-7.286,0,0.0355,0.517,0.0,0.286,0.687,130.02,4
7JuMBlUywiUQdgjYtpJvsf,"Independent Women, Pt. 1",Destiny's Child,Independent Women Part I,2000-12-05,26,221160,False,2000,97,0.742,0.591,6,-3.78,0,0.2,0.347,4.54e-06,0.168,0.932,97.958,4
7ccz9p1ErD6Kq5ZSQmyvLm,Gotta Tell You,Samantha Mumba,Gotta Tell You,2000,39,201066,False,2000,98,0.729,0.752,0,-4.478,0,0.028,0.229,0.0,0.19,0.792,110.007,4
0dOJk6CRCkdpBAgDbTu1DN,Waiting for Tonight,Jennifer Lopez,Waiting For Tonight,1999-10-27,32,245626,False,2000,99,0.6960000000000001,0.945,10,-6.173,0,0.0426,0.00307,0.0739,0.0859,0.834,125.026,4
5walY02m9nCbBvR3hu35Fm,Shackles (Praise You),Mary Mary,Shackles (Praise You),2000-08-24,19,198826,False,2000,100,0.789,0.7020000000000001,7,-6.705,1,0.179,0.0334,0.0,0.224,0.8260000000000001,100.469,4
0wqOReZDnrefefEsrIGeR4,Hanging By A Moment,Lifehouse,No Name Face,2000,70,216066,False,2001,1,0.541,0.864,1,-4.915,1,0.0357,0.00118,0.0,0.0896,0.435,124.557,4
