title,artist,release_year,explicit,energy,valence,casing,is_uniform
Backseat,New Boyz,2011,True,0.923,0.782,mixed,mixed
Headlines,Drake,2011,True,0.5660000000000001,0.425,mixed,mixed
Best Thing I Never Had,Beyoncé,2011,False,0.665,0.286,mixed,mixed
Don't Wanna Go Home,Jason Derulo,2011,False,0.81,0.675,mixed,mixed
Where Them Girls At,David Guetta,2011,True,0.872,0.555,mixed,mixed
She Ain't You,Chris Brown,2011,False,0.716,0.619,mixed,mixed
Take A Back Road,Rodney Atkins,2011,False,0.856,0.918,mixed,mixed
Please Don't Go,Mike Posner,2011,False,0.882,0.657,mixed,mixed
Sure Thing,Miguel,2010,False,0.607,0.498,mixed,mixed
Price Tag,Jessie J,2011,False,0.8310000000000001,0.685,mixed,mixed
God Gave Me You,Blake Shelton,2011,False,0.844,0.543,mixed,mixed
She Will,Lil Wayne,2011,True,0.841,0.0837,mixed,mixed
Are You Gonna Kiss Me Or Not,Thompson Square,2011,False,0.7010000000000001,0.613,mixed,mixed
Animal,Neon Trees,2010,False,0.833,0.74,mixed,mixed
You and Tequila,Kenny Chesney,2010,False,0.454,0.35,mixed,mixed
Colder Weather,Zac Brown Band,2010,False,0.381,0.199,mixed,mixed
My Last,Big Sean,2011,True,0.773,0.367,mixed,mixed
Somebody That I Used To Know,Gotye,2011,False,0.495,0.72,mixed,mixed
Call Me Maybe,Carly Rae Jepsen,2012,False,0.578,0.631,mixed,mixed
We Are Young,fun.,2012,False,0.638,0.735,mixed,mixed
Payphone,Maroon 5,2012,True,0.756,0.523,mixed,mixed
Lights,Ellie Goulding,2010,False,0.789,0.809,mixed,mixed
Glad You Came,The Wanted,2012,False,0.841,0.431,mixed,mixed
Stronger,Kelly Clarkson,2011,False,0.939,0.684,mixed,mixed
We Found Love,Rihanna,2011,False,0.766,0.6000000000000001,mixed,mixed
Starships,Nicki Minaj,2011,True,0.716,0.751,mixed,mixed
What Makes You Beautiful,One Direction,2012,False,0.771,0.873,mixed,mixed
Wild Ones,Flo Rida,2012,False,0.86,0.437,mixed,mixed
Set Fire to the Rain,Adele,2011,False,0.67,0.445,mixed,mixed
Sexy And I Know It,LMFAO,2011,False,0.861,0.795,mixed,mixed
Some Nights,fun.,2012,True,0.738,0.392,mixed,mixed
Wide Awake,Katy Perry,2012,False,0.683,0.5750000000000001,mixed,mixed
Good Feeling,Flo Rida,2012,False,0.89,0.684,mixed,mixed
Whistle,Flo Rida,2012,False,0.937,0.739,mixed,mixed
One More Night,Maroon 5,2012,False,0.8200000000000001,0.613,mixed,mixed
Drive By,Train,2012,False,0.837,0.721,mixed,mixed
The Motto,Drake,2011,True,0.442,0.39,mixed,mixed
Where Have You Been,Rihanna,2011,False,0.847,0.444,mixed,mixed
Everybody Talks,Neon Trees,2012,True,0.924,0.725,mixed,mixed
Take Care,Drake,2011,True,0.515,0.299,mixed,mixed
Titanium,David Guetta,2011,False,0.788,0.301,mixed,mixed
I Won't Give Up,Jason Mraz,2012,False,0.303,0.142,mixed,mixed
It Will Rain,Bruno Mars,2011,False,0.8240000000000001,0.434,mixed,mixed
Mercy,Kanye West,2012,True,0.496,0.426,mixed,mixed
Boyfriend,Justin Bieber,2012,False,0.55,0.332,mixed,mixed
Party Rock Anthem,LMFAO,2011,False,0.736,0.352,mixed,mixed
Too Close,Alex Clare,2011,False,0.712,0.286,mixed,mixed
Part Of Me,Katy Perry,2012,False,0.918,0.769,mixed,mixed
"Young, Wild & Free",Snoop Dogg,2011,True,0.655,0.531,mixed,mixed
We Are Never Ever Getting Back Together,Taylor Swift,2012,False,0.676,0.75,mixed,mixed
As Long As You Love Me,Justin Bieber,2012,False,0.873,0.613,mixed,mixed
Turn Me On,David Guetta,2011,False,0.794,0.412,mixed,mixed
Moves Like Jagger,Maroon 5,2015,False,0.751,0.599,mixed,mixed
Blow Me,P!nk,2012,True,0.919,0.729,mixed,mixed
Good Time,Owl City,2012,False,0.872,0.682,mixed,mixed
Give Your Heart a Break,Demi Lovato,2011,False,0.6950000000000001,0.5690000000000001,mixed,mixed
Ni**as In Paris,JAY-Z,2011,True,0.859,0.769,mixed,mixed
The One That Got Away,Katy Perry,2012,False,0.792,0.864,mixed,mixed
Feel So Close,Calvin Harris,2012,False,0.924,0.919,mixed,mixed
Someone Like You,Adele,2011,False,0.321,0.288,mixed,mixed
Scream,USHER,2012,False,0.862,0.5690000000000001,mixed,mixed
Rack City,Tyga,2012,True,0.339,0.273,mixed,mixed
Domino,Jessie J,2011,False,0.547,0.793,mixed,mixed
Gangnam Style,PSY,2012,False,0.937,0.749,mixed,mixed
International Love,Pitbull,2011,False,0.855,0.648,mixed,mixed
Home,Phillip Phillips,2012,False,0.8260000000000001,0.322,mixed,mixed
Without You,David Guetta,2011,False,0.614,0.402,mixed,mixed
Ass Back Home,Gym Class Heroes,2011,True,0.838,0.646,mixed,mixed
Wanted,Hunter Hayes,2011,False,0.476,0.3,mixed,mixed
Drunk On You,Luke Bryan,2011,False,0.872,0.472,mixed,mixed
No Lie,2 Chainz,2012,True,0.665,0.611,mixed,mixed
Want U Back,Cher Lloyd,2012,False,0.891,0.5630000000000001,mixed,mixed
Don't Wake Me Up,Chris Brown,2012,False,0.6910000000000001,0.206,mixed,mixed
Dance  Remix,Big Sean,2011,True,0.721,0.6980000000000001,mixed,mixed
Springsteen,Eric Church,2011,False,0.809,0.927,mixed,mixed
Brokenhearted,Karmin,2012,False,0.735,0.894,mixed,mixed
Not Over You,Gavin DeGraw,2011,False,0.888,0.363,mixed,mixed
Stereo Hearts,Gym Class Heroes,2011,False,0.795,0.796,mixed,mixed
Back in Time,Pitbull,2012,False,0.915,0.789,mixed,mixed
Work Out,J. Cole,2011,True,0.427,0.216,mixed,mixed
Rumour Has It,Adele,2011,False,0.753,0.557,mixed,mixed
Let's Go,Calvin Harris,2012,False,0.882,0.875,mixed,mixed
Good Girl,Carrie Underwood,2012,False,0.839,0.741,mixed,mixed
Pontoon,Little Big Town,2013,False,0.8190000000000001,0.867,mixed,mixed
Ho Hey,The Lumineers,2012,False,0.472,0.359,mixed,mixed
Paradise,Coldplay,2011,False,0.585,0.212,mixed,mixed
Blown Away,Carrie Underwood,2012,False,0.843,0.392,mixed,mixed
Rolling in the Deep,Adele,2011,False,0.756,0.522,mixed,mixed
Climax,USHER,2012,False,0.478,0.333,mixed,mixed
"Work Hard, Play Hard",Wiz Khalifa,2012,True,0.678,0.465,mixed,mixed
Let Me Love You,Ne-Yo,2012,False,0.677,0.248,mixed,mixed
Pound The Alarm,Nicki Minaj,2011,True,0.858,0.591,mixed,mixed
Come Over,Kenny Chesney,2012,False,0.704,0.481,mixed,mixed
Heart Attack,Trey Songz,2012,True,0.865,0.464,mixed,mixed
Drank in My Cup,Kirko Bangz,2011,True,0.632,0.234,mixed,mixed
Birthday Cake,Rihanna,2011,True,0.8260000000000001,0.329,mixed,mixed
So Good,B.o.B,2012,False,0.9,0.591,mixed,mixed
50 Ways to Say Goodbye,Train,2012,False,0.935,0.736,mixed,mixed
Red Solo Cup,Toby Keith,2011,False,0.56,0.785,mixed,mixed
Love You Like A Love Song,Selena Gomez & The Scene,2011,False,0.678,0.922,mixed,mixed
Turn Up the Music,Chris Brown,2012,False,0.841,0.643,mixed,mixed
Die Young,Kesha,2012,False,0.7000000000000001,0.801,mixed,mixed
5 O'Clock,T-Pain,2011,True,0.882,0.385,mixed,mixed
A Thousand Years,Christina Perri,2011,False,0.407,0.161,mixed,mixed
Take A Little Ride,Jason Aldean,2012,False,0.866,0.775,mixed,mixed
You Da One,Rihanna,2011,True,0.715,0.863,mixed,mixed
We Run The Night,Havana Brown,2011,True,0.861,0.7030000000000001,mixed,mixed
It's Time,Imagine Dragons,2012,False,0.884,0.86,mixed,mixed
Cashin' Out,Ca$h Out,2012,True,0.665,0.663,mixed,mixed
I Don't Want This Night To End,Luke Bryan,2011,False,0.728,0.375,mixed,mixed
Diamonds,Rihanna,2012,False,0.669,0.405,mixed,mixed
Hard To Love,Lee Brice,2012,False,0.722,0.469,mixed,mixed
Somethin' 'Bout A Truck,Kip Moore,2012,False,0.794,0.79,mixed,mixed
Adorn,Miguel,2012,False,0.585,0.22,mixed,mixed
Fly Over States,Jason Aldean,2010,False,0.736,0.184,mixed,mixed
Even If It Breaks Your Heart,Eli Young Band,2011,False,0.527,0.5740000000000001,mixed,mixed
BURN IT DOWN,Linkin Park,2012,False,0.972,0.585,upper,uniform
Thrift Shop,Macklemore & Ryan Lewis,2012,True,0.526,0.662,mixed,mixed
Blurred Lines,Robin Thicke,2013,True,0.599,0.843,mixed,mixed
Radioactive,Imagine Dragons,2012,False,0.784,0.236,mixed,mixed
Harlem Shake,Baauer,2013,False,0.794,0.282,mixed,mixed
Can't Hold Us,Macklemore & Ryan Lewis,2012,False,0.927,0.88,mixed,mixed
Mirrors,Justin Timberlake,2013,False,0.6000000000000001,0.646,mixed,mixed
Just Give Me a Reason,P!nk,2012,False,0.547,0.441,mixed,mixed
When I Was Your Man,Bruno Mars,2012,False,0.28,0.387,mixed,mixed
Cruise,Florida Georgia Line,2013,False,0.921,0.68,mixed,mixed
Roar,Katy Perry,2013,False,0.782,0.44,mixed,mixed
Locked out of Heaven,Bruno Mars,2012,False,0.6980000000000001,0.867,mixed,mixed
Ho Hey,The Lumineers,2012,False,0.472,0.359,mixed,mixed
Stay,Rihanna,2012,False,0.31,0.125,mixed,mixed
Get Lucky,Daft Punk,2013,False,0.811,0.862,mixed,mixed
Royals,Lorde,2013,False,0.428,0.337,mixed,mixed
I Knew You Were Trouble.,Taylor Swift,2012,False,0.469,0.679,mixed,mixed
We Can't Stop,Miley Cyrus,2013,False,0.622,0.484,mixed,mixed
Wrecking Ball,Miley Cyrus,2013,False,0.422,0.349,mixed,mixed
Wake Me Up,Avicii,2013,False,0.806,0.577,mixed,mixed
Suit & Tie,Justin Timberlake,2013,True,0.596,0.357,mixed,mixed
Cups,Anna Kendrick,2015,False,0.455,0.79,mixed,mixed
Holy Grail,JAY-Z,2013,True,0.534,0.156,mixed,mixed
Scream & Shout,will.i.am,2013,True,0.685,0.501,mixed,mixed
Clarity,Zedd,2012,False,0.781,0.176,mixed,mixed
Sail,AWOLNATION,2011,False,0.435,0.243,mixed,mixed
Don't You Worry Child,Swedish House Mafia,2012,False,0.84,0.438,mixed,mixed
Diamonds,Rihanna,2012,False,0.669,0.405,mixed,mixed
I Love It,Icona Pop,2012,True,0.905,0.838,mixed,mixed
Safe And Sound,Capital Cities,2013,False,0.8190000000000001,0.766,mixed,mixed
Treasure,Bruno Mars,2012,True,0.6920000000000001,0.937,mixed,mixed
The Way,Ariana Grande,2013,False,0.878,0.862,mixed,mixed
Started From the Bottom,Drake,2013,True,0.535,0.515,mixed,mixed
