artist,title,year,gender,birth_year,casing,is_uniform
Meek Mill,Sharing Locations,2021,male,1987.0,mixed,mixed
Shubh,Elevated,2021,male,1997.0,mixed,mixed
Zack Tabudlo,Binibini,2021,male,2001.0,mixed,mixed
Dermot Kennedy,Better Days,2021,male,1991.0,mixed,mixed
Marília Mendonça,Não Sei o Que Lá,2021,female,1995.0,mixed,mixed
Bizarrap,"Snow Tha Product: Bzrp Music Sessions, Vol. 39",2021,male,1998.0,mixed,mixed
J. Cole,i n t e r l u d e,2021,male,1985.0,lower,uniform
Kelsea Ballerini,I Quit Drinking,2021,female,1993.0,mixed,mixed
PinkPantheress,Just for Me,2021,female,2001.0,mixed,mixed
Zé Felipe,Revoada No Colchão,2021,male,1998.0,mixed,mixed
Lola Indigo,La Niña de la Escuela,2021,female,1992.0,mixed,mixed
Billie Eilish,Male Fantasy,2021,female,2001.0,mixed,mixed
Zé Felipe,Toma Toma Vapo Vapo,2021,male,1998.0,mixed,mixed
Atif Aslam,Dil Diyan Gallan,2021,male,1983.0,mixed,mixed
H.E.R.,Come Through,2021,female,1997.0,mixed,mixed
David Guetta,If You Really Love Me,2021,male,1967.0,mixed,mixed
C. Tangana,Ingobernable,2021,male,1990.0,mixed,mixed
Nessa Barrett,la di die,2021,female,2002.0,lower,uniform
Jubin Nautiyal,Lut Gaye,2021,male,1989.0,mixed,mixed
Drake,In The Bible,2021,male,1986.0,mixed,mixed
Justin Bieber,Unstable,2021,male,1994.0,mixed,mixed
Wesley Safadão,Eu Já Tava Bem,2021,male,1988.0,mixed,mixed
Madonna,Frozen,2021,female,1958.0,mixed,mixed
Nardo Wick,Me or Sum,2021,male,2001.0,mixed,mixed
Martin Garrix,Pressure,2021,male,1996.0,mixed,mixed
Ed Sheeran,2step,2021,male,1991.0,lower,uniform
Zack Tabudlo,Give Me Your Forever,2021,male,2001.0,mixed,mixed
Polo G,Bad Man,2021,male,1999.0,mixed,mixed
Young Thug,Bubbly,2021,male,1991.0,mixed,mixed
KAROL G,CONTIGO VOY A MUERTE,2021,female,1991.0,upper,uniform
Niko Moon,GOOD TIME,2021,male,1982.0,upper,uniform
Tokischa,Linda,2021,female,1996.0,mixed,mixed
